文件名,预测类别,置信度,Top2差距,分歧度,风险等级,Top1,Top2,Top3,审核结果,备注
saltandpepper_Screen Shot 2018-06-07 at 2.45.18 PM.jpg,碰伤,54.4%,0.290,0.60,HIGH,碰伤,腐烂,褶皱,,
Screen Shot 2018-06-08 at 2.28.07 PM.jpg,虫伤,54.1%,0.311,0.60,HIGH,虫伤,腐烂,碰伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.52.30 PM.jpg,碰伤,50.9%,0.260,0.60,HIGH,碰伤,腐烂,虫伤,,
saltandpepper_Screen Shot 2018-06-07 at 2.40.28 PM.jpg,虫伤,50.8%,0.350,0.60,HIGH,虫伤,病变,褶皱,,
vertical_flip_Screen Shot 2018-06-08 at 2.46.50 PM.jpg,褶皱,50.3%,0.267,0.60,HIGH,褶皱,腐烂,虫伤,,
r1_34_褶皱_pred_裂果.jpg,褶皱,50.0%,0.228,0.60,HIGH,褶皱,裂果,虫伤,,
Screen Shot 2018-06-07 at 2.24.02 PM.jpg,腐烂,50.0%,0.230,0.20,HIGH,腐烂,虫伤,碰伤,,
Screen Shot 2018-06-07 at 2.33.38 PM.jpg,腐烂,49.9%,0.257,0.20,HIGH,腐烂,虫伤,碰伤,,
vertical_flip_Screen Shot 2018-06-07 at 2.18.57 PM.jpg,合格,49.9%,0.286,0.20,HIGH,合格,腐烂,碰伤,,
vertical_flip_Screen Shot 2018-06-08 at 2.31.45 PM.jpg,碰伤,49.8%,0.240,0.40,HIGH,碰伤,虫伤,合格,,
Screen Shot 2018-06-08 at 2.38.33 PM.jpg,腐烂,49.7%,0.199,0.20,HIGH,腐烂,虫伤,褶皱,,
Screen Shot 2018-06-08 at 2.52.43 PM.jpg,腐烂,49.7%,0.080,0.40,HIGH,腐烂,虫伤,合格,,
vertical_flip_Screen Shot 2018-06-07 at 2.38.13 PM.jpg,黑斑,49.6%,0.219,0.40,HIGH,黑斑,合格,褶皱,,
Screen Shot 2018-06-07 at 3.01.09 PM.jpg,碰伤,49.6%,0.026,0.40,HIGH,碰伤,腐烂,褶皱,,
saltandpepper_Screen Shot 2018-06-08 at 2.37.19 PM.jpg,虫伤,49.6%,0.195,0.40,HIGH,虫伤,碰伤,腐烂,,
vertical_flip_Screen Shot 2018-06-08 at 2.41.16 PM.jpg,裂果,49.5%,0.269,0.60,HIGH,裂果,碰伤,腐烂,,
Screen Shot 2018-06-08 at 2.51.28 PM.jpg,腐烂,49.3%,0.088,0.40,HIGH,腐烂,虫伤,褶皱,,
