Apple Quality Detection - Training Log
Run Timestamp: 20260528_213059
Model: EfficientNet-B0 (pretrained) + Dropout(0.5)
Epochs: 50, Batch Size: 8, LR: 0.001
Train Samples: 120, Val Samples: 30
Classes: ['black_spot', 'bruised', 'cracked', 'diseased', 'fresh', 'insect_damaged', 'rotten', 'wrinkled']
Device: cpu
======================================================================
 Epoch | Train Loss | Train Acc |   Val Loss |   Val Acc |           LR | Best
----------------------------------------------------------------------
     1 |     1.5752 |     46.67% |     1.1534 |     63.33% |     0.000999 | *   
     2 |     0.5598 |     80.00% |     1.3850 |     63.33% |     0.000996 |     
     3 |     0.4317 |     87.50% |     0.9438 |     80.00% |     0.000991 | *   
     4 |     0.3799 |     88.33% |     0.8733 |     80.00% |     0.000984 |     
     5 |     0.4104 |     85.83% |     0.8413 |     76.67% |     0.000976 |     
     6 |     0.3641 |     90.83% |     2.3847 |     53.33% |     0.000965 |     
     7 |     0.2101 |     94.17% |     0.8994 |     80.00% |     0.000952 |     
     8 |     0.1986 |     91.67% |     0.9905 |     73.33% |     0.000938 |     
     9 |     0.2284 |     93.33% |     1.1360 |     83.33% |     0.000922 | *   
    10 |     0.1980 |     94.17% |     0.8474 |     76.67% |     0.000905 |     
    11 |     0.2877 |     86.67% |     0.3926 |     90.00% |     0.000885 | *   
    12 |     0.2095 |     90.83% |     1.3152 |     73.33% |     0.000864 |     
    13 |     0.3008 |     93.33% |     0.9026 |     80.00% |     0.000842 |     
    14 |     0.1491 |     95.00% |     0.6794 |     83.33% |     0.000819 |     
    15 |     0.0784 |     99.17% |     0.8604 |     76.67% |     0.000794 |     
    16 |     0.1066 |     96.67% |     0.6729 |     80.00% |     0.000768 |     
    17 |     0.1285 |     95.00% |     0.8678 |     83.33% |     0.000741 |     
    18 |     0.1088 |     96.67% |     0.6131 |     83.33% |     0.000713 |     
    19 |     0.0431 |    100.00% |     0.6364 |     83.33% |     0.000684 |     
    20 |     0.0798 |     97.50% |     0.8809 |     83.33% |     0.000655 |     
    21 |     0.0556 |     99.17% |     0.5502 |     90.00% |     0.000624 |     
    22 |     0.0728 |     96.67% |     0.5022 |     86.67% |     0.000594 |     
    23 |     0.0826 |     98.33% |     0.4747 |     93.33% |     0.000563 | *   
    24 |     0.0457 |    100.00% |     0.4955 |     93.33% |     0.000531 |     
    25 |     0.0193 |     99.17% |     0.4839 |     86.67% |     0.000500 |     
    26 |     0.0265 |     99.17% |     0.4645 |     90.00% |     0.000469 |     
    27 |     0.0399 |     98.33% |     0.4806 |     90.00% |     0.000437 |     
    28 |     0.0102 |    100.00% |     0.4702 |     90.00% |     0.000406 |     
    29 |     0.0192 |    100.00% |     0.4490 |     90.00% |     0.000376 |     
    30 |     0.0233 |    100.00% |     0.4864 |     90.00% |     0.000345 |     
    31 |     0.0311 |    100.00% |     0.5024 |     90.00% |     0.000316 |     
    32 |     0.0292 |     98.33% |     0.4608 |     90.00% |     0.000287 |     
    33 |     0.0094 |    100.00% |     0.4631 |     93.33% |     0.000259 |     
    34 |     0.0105 |    100.00% |     0.4629 |     90.00% |     0.000232 |     
    35 |     0.0142 |     99.17% |     0.4728 |     86.67% |     0.000206 |     
    36 |     0.0062 |    100.00% |     0.4979 |     86.67% |     0.000181 |     
    37 |     0.0291 |     97.50% |     0.5394 |     90.00% |     0.000158 |     
    38 |     0.0180 |    100.00% |     0.5453 |     86.67% |     0.000136 |     
    39 |     0.0313 |     99.17% |     0.4835 |     90.00% |     0.000115 |     
    40 |     0.0084 |    100.00% |     0.4972 |     90.00% |     0.000095 |     
    41 |     0.0223 |     98.33% |     0.4947 |     90.00% |     0.000078 |     
    42 |     0.0139 |    100.00% |     0.5119 |     90.00% |     0.000062 |     
    43 |     0.0244 |     99.17% |     0.5003 |     90.00% |     0.000048 |     
    44 |     0.0081 |    100.00% |     0.4889 |     86.67% |     0.000035 |     
    45 |     0.0026 |    100.00% |     0.5282 |     90.00% |     0.000024 |     
    46 |     0.0091 |    100.00% |     0.5542 |     86.67% |     0.000016 |     
    47 |     0.0048 |    100.00% |     0.5199 |     86.67% |     0.000009 |     
    48 |     0.0107 |    100.00% |     0.5096 |     90.00% |     0.000004 |     
    49 |     0.0152 |    100.00% |     0.5556 |     90.00% |     0.000001 |     
    50 |     0.0073 |    100.00% |     0.5203 |     90.00% |     0.000000 |     
======================================================================
Best Validation Accuracy: 93.33%
Log saved to: C:\Users\22414\dev\ml-course-experiments\experiment-01-apple-detection\outputs\training_log_20260528_213059.txt
Metrics saved to: C:\Users\22414\dev\ml-course-experiments\experiment-01-apple-detection\outputs\metrics_20260528_213059.json
