Apple Quality Detection - Mixed Training Log
Run Timestamp: 20260529_161422
Model: EfficientNet-B0 + Dropout(0.5)
Epochs: 50, Batch Size: 8, LR: 0.001
Original Samples: 150
Pseudo-label Samples: 230
Mixed Train: 304, Val: 76
Classes: ['black_spot', 'bruised', 'cracked', 'diseased', 'fresh', 'insect_damaged', 'rotten', 'wrinkled']
Device: cuda
======================================================================
 Epoch | Train Loss | Train Acc |   Val Loss |   Val Acc |           LR | Best
----------------------------------------------------------------------
     1 |     1.3709 |     53.62% |     1.1110 |     69.74% |     0.000999 | *   
     2 |     0.7967 |     72.70% |     0.7814 |     73.68% |     0.000996 | *   
     3 |     0.6497 |     78.62% |     1.0042 |     84.21% |     0.000991 | *   
     4 |     0.5928 |     77.63% |     1.0850 |     76.32% |     0.000984 |     
     5 |     0.4573 |     85.20% |     0.9033 |     85.53% |     0.000976 | *   
     6 |     0.4835 |     86.18% |     0.8747 |     77.63% |     0.000965 |     
     7 |     0.4853 |     83.88% |     0.9748 |     84.21% |     0.000952 |     
     8 |     0.2423 |     92.43% |     0.6630 |     88.16% |     0.000938 | *   
     9 |     0.2885 |     91.45% |     0.9328 |     80.26% |     0.000922 |     
    10 |     0.1657 |     94.74% |     0.9158 |     86.84% |     0.000905 |     
    11 |     0.1349 |     96.05% |     0.9765 |     85.53% |     0.000885 |     
    12 |     0.1882 |     94.74% |     0.9368 |     82.89% |     0.000864 |     
    13 |     0.2918 |     92.11% |     0.9448 |     81.58% |     0.000842 |     
    14 |     0.3265 |     90.79% |     0.9976 |     82.89% |     0.000819 |     
    15 |     0.2100 |     93.09% |     0.7435 |     82.89% |     0.000794 |     
    16 |     0.1982 |     93.42% |     0.7551 |     85.53% |     0.000768 |     
    17 |     0.1068 |     96.38% |     0.6353 |     84.21% |     0.000741 |     
    18 |     0.0686 |     98.36% |     0.7708 |     85.53% |     0.000713 |     
    19 |     0.0622 |     97.70% |     0.9914 |     82.89% |     0.000684 |     
    20 |     0.1260 |     96.05% |     0.9944 |     81.58% |     0.000655 |     
    21 |     0.0292 |     99.34% |     0.8188 |     84.21% |     0.000624 |     
    22 |     0.0310 |     99.34% |     0.8448 |     85.53% |     0.000594 |     
    23 |     0.0346 |     99.34% |     0.9557 |     82.89% |     0.000563 |     
    24 |     0.0470 |     98.68% |     0.9990 |     85.53% |     0.000531 |     
    25 |     0.0369 |     98.36% |     1.1586 |     82.89% |     0.000500 |     
    26 |     0.0350 |     98.68% |     1.0199 |     84.21% |     0.000469 |     
    27 |     0.0299 |     99.67% |     0.8993 |     85.53% |     0.000437 |     
    28 |     0.0247 |     99.34% |     0.9142 |     85.53% |     0.000406 |     
    29 |     0.0235 |     99.67% |     0.8471 |     86.84% |     0.000376 |     
    30 |     0.0216 |     99.67% |     0.8600 |     88.16% |     0.000345 |     
    31 |     0.0147 |     99.67% |     0.9118 |     86.84% |     0.000316 |     
    32 |     0.0126 |    100.00% |     0.9442 |     86.84% |     0.000287 |     
    33 |     0.0144 |    100.00% |     0.8742 |     85.53% |     0.000259 |     
    34 |     0.0178 |     99.67% |     0.8569 |     84.21% |     0.000232 |     
    35 |     0.0204 |     99.01% |     0.8887 |     85.53% |     0.000206 |     
    36 |     0.0307 |     99.01% |     0.8290 |     86.84% |     0.000181 |     
    37 |     0.0359 |     99.01% |     0.9808 |     86.84% |     0.000158 |     
    38 |     0.0081 |    100.00% |     1.0752 |     86.84% |     0.000136 |     
    39 |     0.0311 |     99.34% |     0.9236 |     86.84% |     0.000115 |     
    40 |     0.0194 |     99.01% |     0.9254 |     86.84% |     0.000095 |     
    41 |     0.0133 |     99.01% |     0.9249 |     85.53% |     0.000078 |     
    42 |     0.0060 |    100.00% |     0.8727 |     86.84% |     0.000062 |     
    43 |     0.0226 |     99.67% |     0.8349 |     85.53% |     0.000048 |     
    44 |     0.0128 |     99.67% |     0.9500 |     86.84% |     0.000035 |     
